"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"J1","Conn_01x25_Pin","","~","1","","",""
"RZ1","RP2040-Zero","Raspberry Pi Pico Zero:RP2040-Zero","","1","","",""
